,occ1990dd,task_abstract,task_routine,task_manual
0,4,5.56200790405,1.93213272095,0.577709674835
1,7,7.4478187561,2.09613728523,0.0359679833055
2,8,5.86310100555,1.82183516026,0.241821631789
3,13,6.96812725067,1.38036191463,0.0807442590594
4,14,6.90317726135,1.48319900036,0.180020093918
5,15,7.8161649704,2.41299581528,0.364065945148
6,18,5.18536281586,1.84105706215,1.29084503651
7,19,7.63696956635,1.25,0.0
8,22,6.91338443756,1.88622629642,0.467775970697
9,23,7.62004470825,5.99298620224,0.0160878263414
10,24,2.95627355576,2.81049180031,0.0189086794853
11,25,7.1518239975,3.10150575638,0.0720414891839
12,26,7.10660171509,4.33509778976,0.686102032661
13,27,5.82707214355,1.8100438118,0.23659157753
14,28,4.93838024139,1.98869490623,0.00217930832878
15,29,6.48177671432,1.35302495956,0.0479080229998
16,33,6.54403686523,1.61306488514,0.1083073318
17,34,6.33243942261,1.74174523354,0.79367095232
18,35,2.9562702179,5.54835319519,3.32157492638
19,36,3.4318151474,4.8944144249,1.27625119686
20,37,6.15753698349,1.97308909893,0.557929873466
21,43,5.22587680817,3.30972242355,0.0985371544957
22,44,8.4024848938,6.07936000824,1.26013636589
23,45,8.53659057617,7.22211790085,0.872886776924
24,47,8.01186180115,6.01857566833,0.42780649662
25,48,9.00207996368,6.65829229355,0.304276943207
26,53,8.18165493011,7.35369443893,2.20729494095
27,55,7.34462785721,6.48193264008,2.91603541374
28,56,7.5696721077,5.1902141571,0.991356194019
29,57,7.93242835999,7.2587389946,0.271770060062
30,59,7.01590204239,5.72021007538,1.03482139111
31,64,5.34713697433,2.87553977966,1.39056146145
32,65,5.38707256317,2.77674055099,1.11822605133
33,66,7.99493980408,5.53209972382,0.0
34,68,5.29876708984,3.1042098999,0.220259174705
35,69,5.27985906601,6.82956218719,0.240261554718
36,73,8.49281024933,7.10187625885,0.356866121292
37,74,7.11794710159,1.25,0.0
38,75,5.77555274963,6.51714277267,2.01321768761
39,76,9.0,6.25,0.0
40,77,6.64981889725,5.27408981323,1.0447717905
41,78,7.81712627411,7.68601512909,0.944519281387
42,79,4.05932998657,2.038626194,2.91146326065
43,83,7.83713436127,7.7883234024,1.04127287865
44,84,7.88524723053,4.6948723793,1.75593221188
45,85,4.16946554184,4.0864200592,2.32910633087
46,86,2.85585069656,7.12917041779,0.249382257462
47,87,4.0,2.5,0.0
48,88,4.71606874466,2.48507761955,0.275975465775
49,89,8.0,3.75,2.5
50,95,3.32759237289,7.04326629639,2.39047288895
51,96,4.42613983154,7.99061965942,0.0
52,97,7.96022701263,1.54829835892,0.0
53,98,5.0311331749,3.99797797203,1.05087399483
54,99,5.0311331749,3.99797797203,1.05087399483
55,103,5.0311331749,3.99797797203,1.05087399483
56,104,5.0311331749,3.99797797203,1.05087399483
57,105,5.0311331749,3.99797797203,1.05087399483
58,106,5.0311331749,3.99797797203,1.05087399483
59,154,7.32209396362,1.53621578217,0.267298966646
60,155,3.6391954422,1.83163225651,2.63270020485
61,156,2.59380412102,1.34010708332,2.28335976601
62,157,7.10942220688,1.57255983353,0.757840871811
63,158,5.51551485062,3.74072265625,1.70457601547
64,159,5.59054851532,3.40523314476,1.93258559704
65,163,4.61731433868,1.36405992508,0.175440475345
66,164,3.02207684517,1.63659214973,0.391309261322
67,165,4.90326786041,1.89149594307,1.92669272423
68,166,5.2491979599,3.22912168503,0.183178648353
69,167,5.0307097435,1.81159806252,0.0812649726868
70,169,5.29211807251,1.42314374447,0.996273577213
71,173,3.37353515625,2.23149871826,0.0
72,174,6.69753742218,1.41292130947,0.0964282378554
73,176,3.40676736832,1.31499564648,0.0779166668653
74,177,4.99333095551,1.64188063145,0.877481102943
75,178,3.31852459908,1.4148375988,0.00250366632827
76,183,1.92352557182,1.25,0.0
77,184,3.86452412605,2.42326307297,0.867239236832
78,185,4.2047867775,4.56718063354,0.470310896635
79,186,2.60604524612,3.20837140083,3.83215427399
80,187,5.61638450623,2.10511755943,1.52050447464
81,188,2.2279624939,5.57005977631,0.195060819387
82,189,1.85409390926,7.3460483551,0.177314430475
83,193,1.0,7.5,10.0
84,194,3.64135408401,2.72939109802,1.02520310879
85,195,4.39029026031,1.87755072117,0.0442492961884
86,198,1.86611604691,4.35268783569,0.0
87,199,5.59387731552,3.51056551933,5.84612798691
88,203,3.05696249008,7.94008255005,0.516781806946
89,204,2.0,8.64206695557,0.210704803467
90,205,3.46457695961,4.64915704727,0.0
91,206,3.1303653717,7.43551826477,2.43902206421
92,207,1.60376322269,4.90420198441,2.46628069878
93,208,2.43052649498,6.48883342743,1.52874100208
94,214,3.5785779953,7.26265716553,1.1950006485
95,217,3.85064458847,8.26715660095,0.123172998428
96,218,7.54429674149,7.28426742554,4.16392803192
97,223,3.25905799866,6.57813072205,0.684093236923
98,224,3.70148396492,6.99620342255,1.00104486942
99,225,4.01230812073,6.30320072174,0.750549197197
100,226,3.63819885254,4.16962957382,5.02201128006
101,227,2.28915834427,2.48589897156,0.0
102,228,2.66181087494,3.23234796524,0.429615646601
103,229,7.51284170151,5.06442403793,0.693403482437
104,233,6.14691066742,5.55014896393,0.46539068222
105,234,2.98993682861,3.67675876617,0.158402383327
106,235,4.02663087845,5.84725093842,1.17493343353
107,243,6.98528528214,1.87374842167,0.509280264378
108,253,3.20321750641,3.23524045944,0.0148284435272
109,254,2.1223013401,1.31931495667,0.0511015579104
110,255,6.47049713135,2.07162070274,0.0129685346037
111,256,3.20298910141,1.59166967869,0.00142029032577
112,258,5.73829555511,3.32326030731,0.472428798676
113,274,2.15053391457,1.58554518223,0.195499300957
114,275,2.05627846718,2.15393400192,0.445296466351
115,276,1.52343225479,7.46328830719,0.0352874062955
116,277,1.6409008503,1.60861074924,1.55167925358
117,283,1.96112442017,2.33753252029,0.69608092308
118,303,4.58489227295,4.50326633453,0.122391298413
119,308,1.90699052811,7.00970983505,1.92194795609
120,313,1.99415516853,8.53623008728,0.0149692483246
121,315,1.06688213348,7.82910919189,0.0562188066542
122,316,1.76769971848,6.08850669861,0.0804190561175
123,317,1.4484462738,2.72031736374,0.323873758316
124,318,2.06149816513,2.17062973976,0.121544063091
125,319,1.31836497784,2.53027772903,0.0360184013844
126,326,1.63107419014,3.36516094208,0.256561875343
127,328,1.81263136864,6.11839771271,0.081368163228
128,329,0.529674470425,3.03484749794,1.89812767506
129,335,0.76324403286,6.92671298981,0.0515182539821
130,336,1.80071890354,5.86512851715,0.0921946391463
